Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
7107019,156 BROAD ST,"Ingleside, Other",BP APPROVED,3/19/08,2,2,,TO ERECT A NEW 2 STORY 2 DWELLING UNIT,Residential,RH-2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200509072195,,9/7/05,40-X,RH-2,7-Sep-05,-122.457724,37.71332,,
8720001,435 CHINA BASIN ST,"South of Market, Other",BP ISSUED,4/3/07,319,319,,"TO ERECT 16 STORIES, 319 DWELLING UNITS OF RESIDENTIAL / RETAIL / OFFICE / PARKING BUILDING.",Public,P,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200509274032,,9/27/05,MB-RA,MB-RA,27-Sep-05,-122.386896,37.772595,,
7046025,2569 SAN JOSE AV,"Ingleside, Other",BP APPROVED,10/10/08,2,2,VARIANCE FOR REAR YARD ENCROACHMENT,TO ERECT 3 STORIES 2 RESIDENTIAL UNITS.,Public,P,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0853,200511107819,7/18/06,11/10/05,40-X,RH-2,10-Nov-05,-122.449077,37.717583,,
5258001,1409 HUDSON AV,Other S Bayshore,BP ISSUED,12/4/07,1,1,,"TO ERECT 2 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING BUILDING.",Residential,RH-1,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200512150450,,12/15/05,40-X,RH-1,15-Dec-05,-122.384954,37.737993,,
1417003A,227 16TH AV,Richmond,BP ISSUED,10/17/07,2,1,NEW CONSTRUCTION OF 2-UNIT BUILDING,"ERECT 4 STORY, TYPE 5, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-2,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0328,200512281113,2/28/06,12/28/05,40-X,RH-2,28-Dec-05,-122.475498,37.783712,,
274008,850 BUSH ST,Northeast,BP REINSTATED,4/10/08,23,23,,CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL,Mixed Use,RC-4,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200512301345,,12/30/05,65-A,RC-4,30-Dec-05,-122.411288,37.789991,,
7060020,192 MAJESTIC AV,"Ingleside, Other",BP ISSUED,9/3/08,1,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200601051583,,1/5/06,40-X,RH-1,5-Jan-06,-122.453084,37.71576,,
5667015,317 CORTLAND AV,Bernal Heights,BP REINSTATED,9/28/09,2,2,To allow two dwelling units within an NC District without parking per PC Sec. 161(j); the entire project is to construct a new structure that would include two dwelling units and a commercial space.,Construct a new 3-story buildind comprised of ground floor commercil space with 2 dwelling units,Mixed Use,NC-2,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0056,200804180093,1/12/06,4/18/08,40-X,NC-2,12-Jan-06,-122.418368,37.739369,,
5810009,842 MOULTRIE ST,Bernal Heights,BP ISSUED,10/19/07,2,1,Relocation of pre-1900 812 sf cottage. Construct 2252sf sf home with 2 car parking.,"TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,87,0,,,,,,,0,,,,,,,2006.0572,200601132102,4/13/07,1/13/06,40-X,RH-1,13-Jan-06,-122.416373,37.73435,,
7088056,320 RANDOLPH ST,"Ingleside, Other",BP APPROVED,4/30/08,18,18,"Conditional Use authorization to develop 18 new dwelling units on a proposed 15,000 square-foot lot pursuant to Planning Code Sections 710.11 and 121.1.  The project site involves two existing lots (Lot 51 and 56), each measuring 7,500 square feet in size","ERECT 4 STORIES, 3 DWELLING, 1 BASEMENT UNITS RESIDENTIAL & RETAIL BUILDING.",Mixed Use,NC-1,25,"4,572",0,0,0,0,"4,572",0,"-10,428",0,0,"-7,500",0,"-2,928",0,2006.0107,200608290910,1/26/06,8/29/06,40-X,NC-1,26-Jan-06,-122.465553,37.714412,,
6414034,1276 GENEVA AV,"South Central, Other",BP ISSUED,4/14/06,1,-1,,"REQUEST FOR PERMIT IN (E) VIOLATION. LEGALIZE ROOMS IN BASEMENT AND TO COMPLY WITH NOV. #199707989. 1 BATH, CONVERT ILLEGAL ROOMS TO STORAGE ROOMS.",Residential,RH-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200601303359,,1/30/06,40-X,RH-1,30-Jan-06,-122.435005,37.713521,,
6955014,4722 MISSION ST,"South Central, Other",BP APPROVED,7/26/07,8,7,Demolish existing commercial building on lot 15 and demolish existing two-story mixed use building on lot 14 and construct new mixed use building with 8 residential units 8 parking spaces and one commercial space. CU required for demolition of residential,DEMOLISH 2 STORIES OF 1 DWELLING UNIT.,Mixed Use,NC-3,48,"2,000",0,0,0,0,"2,000",0,400,0,0,0,0,400,0,2006.0208,200612290749,2/9/06,12/29/06,65-A,NC-3,9-Feb-06,-122.436485,37.722746,,
1069004,21 WOOD ST,Richmond,BP ISSUED,8/1/08,2,2,DEMOLITION SFD,"ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING",Residential,RH-3,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0157,200602134511,,2/13/06,40-X,RH-2,13-Feb-06,-122.448837,37.783935,,
660007,19 WILMOT ST,Japantown,BP ISSUED,1/24/08,2,2,Demolition of two-family dwelling building and construction of new two-unit structure.  ,"TO ERECT 3 STORIES, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-2,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1356,200602245389,6/13/07,2/24/06,40-X,RH-2,24-Feb-06,-122.432282,37.787514,,
5619057,133 ELSIE ST,Bernal Heights,BP APPROVED,12/11/08,1,1,,ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200603015694,,3/1/06,40-X,RH-1,1-Mar-06,-122.417814,37.742368,,
3049032,85 ST ELMO WY,"Ingleside, Other",BP ISSUED,6/28/07,1,1,"The proposal is a request for conditional use pursuant to Section 304 for a PUD to seek exception from rear yard requirements for the construction of an addition to the existing Chinese Consulate's residence,  including guest suites and staff units in mos",TO ERECT 4 STORY SINGLE FAMILY DWELLING,Residential,RH-1(D),82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0659,200603136523,,3/13/06,40-X,RH-1(D),13-Mar-06,-122.459429,37.731929,,
1729023Q,1242 22ND AV,Outer Sunset,BP ISSUED,3/13/07,2,1,,"VERTICAL ADDITION OF ADDING A 3RD STORY, 2ND UNIT.",Residential,RH-2,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200604058365,,4/5/06,40-X,RH-2,5-Apr-06,-122.480246,37.764478,,
4087037,2219 BRYANT ST,Mission,BP ISSUED,4/30/08,2,1,The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will n,REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.,Residential,RM-1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.134,200604259790,,4/25/06,40-X,RM-1,25-Apr-06,-122.409543,37.758714,,
3507039,1401 MARKET ST,Downtown,BP ISSUED,4/25/08,719,719,Construction of new mixed-use building containing approximately 719 dwelling units and up to 719 parking spaces,TO ERECT A NEW 35 STORY 719 DWELLING UNITS WITH RETAIL & PARKING  & ASSEMBLY SPACE,Commercial,C-3-G,608,"525,500","513,250",0,0,0,"12,250",0,"525,500",0,0,"513,250",0,"12,250",0,2006.0584,200607207084,5/3/06,7/20/06,150-S/320-S,C-3-G,3-May-06,-122.417545,37.776411,200,200
3717019,120 HOWARD ST,Downtown,BP APPROVED,9/15/08,0,0,"Three-story, approximately 67,000 square-foot vertical addition to existing 155,000 square-foot nine-story office building.","PROPOSED VERTICAL ADDITION REMOVING EXTG PENTHOUSE AND CONSTRUCTING 4 NEW STORIES WITH FULL FLOOR PLATES, NEW STRUCTURE WILL BE STEEL MOMENT FRAME AND MECHANICAL WILL BE VARIABLE AIR VOLUME-REPLACE 3 EXTG ELEVATORS",Commercial,C-3-O(SD),780,"222,000","222,000",0,0,0,0,0,"67,000",0,0,"67,000",0,0,0,2006.0616,200611178045,5/11/06,11/17/06,200-S,C-3-O/C-3-O(SD),11-May-06,-122.3929,37.791226,,
1736033,1208 15TH AV,Inner Sunset,BP ISSUED,8/25/08,2,2,,TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential,RM-1,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200605111391,,5/11/06,40-X,RH-2,11-May-06,-122.472728,37.765322,,
3537078,45 BELCHER ST,Market Octavia,BP REINSTATED,2/27/08,1,1,,4TH FLOOR ADDITION TO (E) 3 STORY BUILDING.,Residential,RTO,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200605302777,,5/30/06,40-X,RTO,30-May-06,-122.429986,37.768604,,
1073008,2608 POST ST,Richmond,BP REINSTATED,2/26/08,1,1,"Construction of a 4-story, 40-foot high, 4,485 sqft 2-unit building at front of lot. Single-family dwelling existing and rear of lot and will remain.",ERECT 1 2-STORY TYPE 5 BUILDING,Residential,RH-3,311,0,,,,,,,0,,,,,,,2008.0388,200605312874,3/31/08,5/31/06,40-X,RH-3,31-May-06,-122.444894,37.783775,,
4786043,1171 REVERE AV,"BVHP Area A,B",BP ISSUED,2/27/08,0,0,"To legalize Block 4786, lot 043, a triangular lot that neither meets lot area nor lot width zoning regulations.",TO ERECT 1 STORY WARE HOUSE.,Residential,RH-2,902,"2,175",0,0,0,0,0,0,"2,175",0,0,0,"2,175",0,0,2006.1269,200606073397,10/16/06,6/7/06,40-X,PDR-2,7-Jun-06,-122.382449,37.727212,,
6154012,853 GOETTINGEN ST,"South Central, Other",BP ISSUED,11/19/07,1,1,"2-lot subdivision, alteration of an existing SFD on the resulting 29-ft-wide lot and construction of a new SFD on the 21-ft-wide lot, requiring a CU for the new building.","TO ERECT 1 FAMILY DWELLING (BUILDING ""B"")",Residential,RH-1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1087,200606214652,11/16/06,6/21/06,40-X,RH-1,21-Jun-06,-122.404141,37.72147,,
6567013,3736 CESAR CHAVEZ ST,Central,BP REINSTATED,5/29/07,2,1,"Addition and alteration to an existing 2,620 square foot two-unit building, resulting in a 6,310 square foot two-unit building.","VERTICAL & HORIZONTAL ADDITION & ADDING ONE UNIT, NEW GARAGE.",Residential,RH-2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0731,200606234934,,6/23/06,40-X,RH-2,23-Jun-06,-122.423474,37.74809,,
4224015,1004 MISSISSIPPI ST,Showpl/Potrero,BP APPROVED,1/16/09,28,28,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height. ","ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",Residential,RH-3,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.081,200705010141,6/29/06,5/1/07,40-X,RH-3,29-Jun-06,-122.393815,37.753144,,
5556019,162 BREWSTER ST,Bernal Heights,BP ISSUED,11/21/07,1,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200607106046,,7/10/06,40-X,RH-1,10-Jul-06,-122.407352,37.744057,,
1364048,4201 CALIFORNIA ST,Richmond,BP APPROVED,8/4/09,6,6,"Demolish 850-square foot service station on parking lot for 10 cars and construct 3-story, 6-unit residential over commercial building in excess of 10,000 sq ft.",TO ERECT A NEW 4 STORY 6 UNIT BUILDING WITH RETAIL SPACE,Mixed Use,NC-1,324,"10,000",0,0,0,0,"10,000",0,"9,150",0,0,0,-850,"10,000",0,2006.0851,200607186846,,7/18/06,40-X,NC-1,18-Jul-06,-122.462539,37.785174,,
3211010A,270 OCEAN AV,"South Central, Other",BP REINSTATED,1/25/08,6,6,"The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area. A",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0125,200607186852,1/31/07,7/18/06,40-X,NC-1,18-Jul-06,-122.442279,37.723334,,
839029,261 OCTAVIA ST,Market Octavia,BP ISSUED,4/8/09,15,15,"New contruction of 15 low income units for use by developmentally disabled.  ""C"" for Residential Care Facility for 17 residents in (potential) RH-3 District & height in excess of 40 ft. in a (proposed)(n) ""R"" District.  ""V"" for Off-Street parking and Rear",TO ERECT 5 STORY 15 RESIDENTIAL /SUPPORT SPACES,Mixed Use,NCT,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0799,200809303000,8/9/06,9/30/08,80-B,HAYES NCT,9-Aug-06,-122.424421,37.774554,15,15
1505027,536 40TH AV,Richmond,BP ISSUED,8/11/09,2,1,"2007.0179: The proposal would demolish an existing single-family building constructed in 1906, and construct a new two-unit residential building.
2008.0271: new 4 story, 2 unit building",TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential,RH-2,294,0,,,,,,,0,,,,,,,2008.0271,200608179803,3/3/08,8/17/06,40-X,RH-2,17-Aug-06,-122.500535,37.778556,,
5259002,1502 INNES AV,"BVHP Area A,B",BP REINSTATED,1/17/08,1,1,The proposal is to construct a new three-story single family dwelling on a vacant lot in Zoning District RH-1. The first and second floors of the proposed dwelling are set back approximately 5.5 from the front property line and the third floor is setback ,"ERECT 3 STORIES, 1 DWELLING UNIT BUILDING.",Residential,RH-1,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0465,200608250538,,8/25/06,40-X,RH-1,25-Aug-06,-122.38709,37.738591,,
1858004,1515 12TH AV,Inner Sunset,BP ISSUED,8/10/09,2,1,"New construction of a 2-unit, 4-story building with two off-street parking spaces.",TO ERECT A NEW 4 STORY 2 DWELLING UNITS,Residential,RH-2,528,0,,,,,,,0,,,,,,,2008.1364,200608250627,12/12/08,8/25/06,40-X,RH-2,25-Aug-06,-122.469415,37.759742,,
6543012,4529 25TH ST,Central,BP REINSTATED,7/16/08,2,1,The project would demolish the existing two-story single family structure and construct a new three-story two unit structure.,"remove 2 upper levels of existing house, horizontal addition @ front, rear and sides and vertical addtiion to make new 2 unit residence.",Residential,RH-2,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1075,200702073612,8/31/06,2/7/07,40-X,RH-2,31-Aug-06,-122.439715,37.749213,,
6592031,1409 SANCHEZ ST,Central,BP ISSUED,6/3/09,2,1,Demolish existing single-family building and replace it with a new two units residential building.,DEMOLITION OF ONE STORY W/BASEMENT SINGLE FAMILY DWELLING.,Residential,RH-2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1102,200810204543,8/31/06,10/20/08,40-X,RH-2,31-Aug-06,-122.428994,37.746583,,
8709004,1600 OWENS ST,Mission Bay,BP ISSUED,6/3/08,0,0,"Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Missi","ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.",Mixed Use,MB-RA,653,"245,000","245,000",,,,,,"245,000",,,"245,000",,,,2006.1216,200711097802,9/29/06,11/9/07,MB-RA,MB-RA,29-Sep-06,-122.394204,37.769169,,
6168012,71 BISHOP ST,"South Central, Other",BP APPROVED,9/30/09,2,1,"RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.",ERECT 3 STORIES 1 DWELLING UNIT BLDG.,Residential,RH-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1287,200611036814,10/19/06,11/3/06,40-X,RH-1,19-Oct-06,-122.404121,37.718302,,
768013,701 GOLDEN GATE AV,Market Octavia,BP ISSUED,8/21/07,100,100,,ERECT 8 STORIES OF 100 DWELLING UNITS.,Mixed Use,NCT-3,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200610235755,,10/23/06,50-X/130-E,NCT-3,23-Oct-06,-122.422252,37.780686,99,99
4937014,1060 GILMAN AV,"BVHP Area A,B",BP ISSUED,2/8/08,1,1,,ERECT 3 STORIES 1 DWELLING UNIT BLDG.,Residential,RH-1,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200610245911,,10/24/06,40-X,RH-1,24-Oct-06,-122.389126,37.718953,,
6244073,458 LELAND AV,"South Central, Other",BP ISSUED,9/11/07,1,1,ONSTRUCT ADDITIONAL 2 STORIES ABOVE EXISTING ONE STORY WOOD GARAGE TO ADD NEW SNGLE FAMILY DWELLING.,CONSTRUCT ADDITIONAL 2 STORIES ABOVE EXISTING ONE STORY WOOD GARAGE ADD NEW SNGLE FAMILY DWELLING.,Residential,RH-1,17,0,,,,,,,0,,,,,,,2007.0537,200610245905,6/7/07,10/24/06,40-X,RH-1,24-Oct-06,-122.412833,37.71411,,
6168013,67 BISHOP ST,"South Central, Other",BP APPROVED,9/30/09,1,1,,ERECT 3 STORIES 1 DWELLING UNIT BLDG.,Residential,RH-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200611036809,,11/3/06,40-X,RH-1,3-Nov-06,-122.404109,37.71833,,
1466034,440 35TH AV,Richmond,BP ISSUED,2/27/08,2,1,New construction of 2-unit building in association with Mandatory Demo DR case no. 2006.1454D,TO ERECT 2 DWELLING UNIT WITH 4 STORY NEW BUILDING,Residential,RH-2,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1517,200611308863,12/19/06,11/30/06,40-X,RH-2,30-Nov-06,-122.495349,37.780705,,
6549003,1320 CHURCH ST,Central,BP ISSUED,12/12/07,1,1,,ERECT 3 STORIES 1 UNIT BUILDING IN FRONT LOT.,Residential,RH-2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200612149841,,12/14/06,40-X,RH-2,14-Dec-06,-122.427427,37.74974,,
3733028,894 FOLSOM ST,WSoMa,BP APPROVED,4/21/09,1,1,The project would extend and convert the 2nd floor of the existing commercial structure to a dwelling unit. ,NEW COMMERICAL SPACE ON GROUND LEVEL. NEW 2ND FLOOR RESIDENTIAL UNIT AND GARAGE. NEW ROOF  STRUCTURE,Industrial,RSD,672,"1,500",,,,,"1,500",,"-1,000",,,,,"-1,000",,2007.0816,200612280659,8/20/08,12/28/06,40-X/85-B,RSD,28-Dec-06,-122.403252,37.78058,,
4912001,2824 JENNINGS ST,"BVHP Area A,B",BP APPROVED,10/30/07,3,2,,SCOPE OF WORK IS TO MAKE CORRECTIONS REQUIRED ON NOV;COMPLAINT # 200449960 AND TO LEGALIZE (E) 2ND FLOOR RESIDENCES. (E) RESIDENCES WILL BE REMODELED AND WILL BE BROUGHT UP TO CODE & NEW ADA/HANDICAP BATHROOMS WILL BE CONSTRUCTED. NEW ELECTRICAL. 1ST FLOO,Industrial,PDR-2,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200701111550,,1/11/07,40-X,PDR-2,11-Jan-07,-122.392925,37.72255,,
5015019,3507 JENNINGS ST,Other S Bayshore,BP APPROVED,8/7/08,1,1,2 lot subdivision,HORIZONTAL AND VERTICAL ADDITION TO (E) GARAGE AND CREATING A NEW SINGLE FAMILY HOUSE.,Residential,RH-1,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1193,200701262736,,1/26/07,40-X,RH-1,26-Jan-07,-122.39655,37.718177,,
7553039,102 CONRAD ST,Central,BP ISSUED,3/31/08,2,1,Demolition of existing single family structure and new constuction of two-family structure.,ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0313,200702073645,3/14/07,2/7/07,40-X,RH-1,7-Feb-07,-122.436366,37.737256,,
2747005A,56 GRAND VIEW AV,Central,BP APPROVED,6/12/07,2,1,,"addition of 2nd (studio) unit, mep separate permit.",Residential,RH-2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200702204513,,2/20/07,40-X,RH-2,20-Feb-07,-122.440824,37.756667,,
660027,2255-2257 PINE ST,Japantown,BP APPROVED,6/12/08,3,1,"The proposal is to construct a new three-story over basement, single-family dwelling (approximately 30 feet above grade) fronting on Wilmot Street. An existing two-story over basement, two-family dwelling fronts along Pine Street in Zoning District RH-2. ",ERECT 3 STORIES 1 DWELLING UNIT AND BASEMENT BUILDING.,Residential,RH-2,321,0,,,,,,,0,,,,,,,2007.0436,200703095886,5/1/07,3/9/07,40-X,RH-2,9-Mar-07,-122.432994,37.787901,,
818020,476 LINDEN ST,Market Octavia,BP APPROVED,6/9/09,2,2,,ERECT 4 STORIES 2 DWELLING UNITS BLDG.,Residential,RTO,268,0,,,,,,,0,,,,,,,,200703126040,,3/12/07,50-X,HAYES NCT/RTO,12-Mar-07,-122.425742,37.776202,,
3654024,485 ELIZABETH ST,Central,BP REINSTATED,11/24/08,2,1,The project would demolish the existing single family house built pre-1900 and construct a new two-family dwelling.,EXISTING SINGLE FAMILY RESISDENCE ALTERED WITH HORIZONTAL AND VERTICAL EXTENSIONS TO PROVIDE 2 UMIT.,Residential,RH-3,147,0,,,,,,,0,,,,,,,2007.0314,200705181699,3/14/07,5/18/07,40-X,RH-3,14-Mar-07,-122.431434,37.752129,,
4108003G,1011 TENNESSEE ST,Central Waterfront,BP REINSTATED,3/10/09,3,2,New construction to replace historic building destroyed by fire. ,TO ERECT A NEW 4 STORY 3 DWELLING UNIT,Mixed Use,UMU,521,0,,,,,,,0,,,,,,,2007.1014,200703277415,2/27/08,3/27/07,50-X,UMU,27-Mar-07,-122.389193,37.759041,,
6591022A,1413 NOE ST,Central,BP APPROVED,12/29/08,1,1,"Demo, new construction, rear yard variance",ERECT 2 STORIES SINGLE FAMILY DWELLING BLDG.,Residential,RH-2,120,0,,,,,,,0,,,,,,,2006.1519,200708311531,4/10/07,8/31/07,40-X,RH-2,10-Apr-07,-122.431197,37.746312,,
1028009,2710 PINE ST,Western Addition,BP ISSUED,9/18/07,2,-1,,REMOVE ILLEGAL DWELLING UNIT INCLUDING KITCHEN. CONNECT UPPER UNIT TO ILLEGAL UNIT TO COMBINE WITH I,Mixed Use,NC-2,714,0,,,,,,,0,,,,,,,,200704259610,,4/25/07,40-X,RH-2,25-Apr-07,-122.440583,37.787211,,
3789003,72 TOWNSEND ST,East SoMa,BP APPROVED,12/11/08,74,74,76 new construction / mixed,"7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.",Residential,SB-DTR,727,0,,,,,,,0,,,,,,,2007.0894,200705010136,,5/1/07,105-F,SB-DTR,1-May-07,-122.390093,37.781143,,
4224018,1036 MISSISSIPPI ST,Showpl/Potrero,BP APPROVED,10/6/08,2,2,"New construction of two buildings with two units each, total of four units on a vacant lot.",TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential,RH-3,519,0,,,,,,,0,,,,,,,2007.0713,200705010119,,5/1/07,40-X,RH-3,1-May-07,-122.393853,37.752943,,
4224017,1030-38 MISSISSIPPI ST,Showpl/Potrero,BP APPROVED,8/25/08,2,2,"New construction of two buildings with two units each, total of four units on a vacant lot.",TO ERECT A NEW 3 STORY 2 DWELLING UNIT,Residential,RH-3,519,0,,,,,,,0,,,,,,,2007.0713,200705010117,7/17/07,5/1/07,40-X,RH-3,1-May-07,-122.393857,37.75298,,
1366032,152 07TH AV,Richmond,BP ISSUED,9/1/09,2,1,The proposal is for a vertical and horizontal addition and to add one dwelling unit to an existing two-story single-family dwelling in zoning district RH-2. The proposal will involve (1) adding a new third floor and penthouse floor with roof decks to the ,REMODEL EXTG SINGLE FAMILY RESIDENCE INTO A DUPLEX AND ADD A NEW 3RD FLOOR OVER EXTG BLDG FOOTPRINT,Residential,RH-2,728,0,,,,,,,0,,,,,,,2007.124,200705070626,,5/7/07,40-X,RH-2,7-May-07,-122.465531,37.785706,,
3612062,769 TREAT AV,Mission,BP ISSUED,11/3/08,3,1,,PROPOSED REPAIR OF FIRE DAMAGE AND PROPOSED HORIZONTAL AND VERTICAL ADDITION TO ACCOMODATE ONE ADDIT,Residential,RH-3,188,0,,,,,,,0,,,,,,,,200705161448,,5/16/07,40-X,RH-3,16-May-07,-122.413328,37.757916,,
5826002,104 BACHE ST,Bernal Heights,BP ISSUED,8/4/09,2,2,Rear yard and parking variance,TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG,Residential,RH-2,87,0,,,,,,,0,,,,,,,2008.0382,200706265226,3/27/08,6/26/07,40-X,RH-2,26-Jun-07,-122.41763,37.733907,,
1558013B,557 15TH AV,Richmond,BP ISSUED,2/4/09,2,1,,HORIZ. ADDITION TO REAR BUILDING. CONVERT SINGLE FAMILY HOUSE INTO 2 UNITS.,Residential,RH-2,617,0,,,,,,,0,,,,,,,,200707035803,,7/3/07,40-X,RH-2,3-Jul-07,-122.473936,37.777596,,
