APN,Entitlement,BESTSTAT,BESTDATE,NAMEADDR,Alias,PLN_CASENO,BP_APPLNO,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,SECTION415,TENURE_TYPE,COST,PROPUSE,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FirstFiled,PLN_DESC,BP_DESC,PLANNER,SPONSOR,SP_CONTACT,SP_CONTACTPH,NEIGHBORHOOD,PLAN_AREA,PLAN_DISTRICT,HEIGHT_DISTRICT,ZONING_SIM,ZONING_DISTRICT,SUPE_DISTRICT,Location
APN 3703066,0,PL FILED,6/16/14,1053 MARKET ST,,2014,,0,0,0,0,,,"$23,559,190.00 ",,74000,58000,0,0,0,0,0,0,0,0,4000,-12000,70000,70000,3/18/14,The proposed project would demolish an existing commercial building and construct a 10-story tourist hotel with 155 rooms with a ground floor retail space.,,LYEGAZU,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Downtown,Downtown,90-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78100793860, -122.41115593000)"
APN 1269167,1,CONSTRUCTION,3/23/16,1055 ASHBURY ST,,2013,2.01307E+11,1,1,0,0,,,"$600,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/31/13,Construction of a 4 story single family home on empty lot,"TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",CJP,Closed,Closed,Closed,Haight Ashbury,,Buena Vista,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76369221200, -122.44673806300)"
APN 4224022,0,BP FILED,12/31/15,1058 MISSISSIPPI ST,,2016-000814PRJ,2.01512E+11,2,2,0,0,,,"$800,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/15,,TO ERECT 3 STORIES OF 3 FAMILY DWELLING.,SAMONSKY,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75300335850, -122.39398199600)"
APN 3731023,0,BP FILED,2/17/16,1060 FOLSOM ST,,2016-002535PRJ,2.01602E+11,0,0,0,0,,,$1.00 ,OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/17/16,,CHANGE OF USE FROM INDUSTRIAL/WEARHOUSE TO ASSEEMBLY AND SOCIAL SERVICE USE (DBA ALCHEMY) AND REMOVE THE NOTICE OF VIOLATION COMPLAINT NUMBER 13538_ENF.,EJARDINE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,East SoMa (EN); South of Market,South of Market,65-X,NCT,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 6,"(37.77759333010, -122.40716547900)"
APN 0350003,1,PL APPROVED,3/17/16,1066 MARKET ST,,2013,2.01406E+11,304,304,0,0,,,"$86,400,000.00 ",APARTMENTS,4540,-526,0,0,0,0,0,0,0,0,4540,-526,0,0,11/22/13,"The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim","TO ERECT 14 STORIES, 2 BASEMENT, 304 RESIDENTIAL & RETAIL BUILDING.",IWILSON,Closed,Closed,Closed,Downtown/Civic Center,Downtown,Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78179900670, -122.41174159100)"
APN 6959030,1,CONSTRUCTION,6/17/16,1927 ALEMANY BL,,,2.01012E+11,1,1,0,0,,,"$307,200.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/10/10,,"TO ERECT 2 STORIES, SINGLE FAMILY DWELLING.",APUTRA,,,,Outer Mission,,South Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 11,"(37.72094897560, -122.43868077600)"
APN 3703062,1,BP FILED,11/13/15,1075 MARKET ST,,2013,2.01405E+11,90,90,0,0,On-site BMR Project,Ownership,"$27,000,000.00 ",APARTMENTS,7500,-15500,0,0,0,0,0,0,0,0,7500,-15500,0,0,11/14/13,"The project sponsor proposes to demolish the existing commercial building (former adult entertainment complex) and replace with a new 8-story mixed use (retail and residential) building with approximately 7,500 sf of retail space, 99 units and 24 parking","TO ERECT 8 STORIES, 1 BASEMENT OF 90 DWELLING UNITS WITH COMMERCIAL, CAR STACKER PARKING, ROOF DECK.
** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD. OF SOIL. ROUTE TO DPH **",ASBAGHCL,Closed,Closed,Closed,South of Market,Downtown,Downtown,90-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78064421450, -122.41161520400)"
APN 3726026,0,PL FILED,11/17/15,1076 HOWARD ST,,2015-015152PRJ,,0,0,0,0,,,$0.00 ,,18671,6799,0,0,0,0,18671,15580,0,-8781,0,0,0,0,11/17/15,Change of use from PDR to Office and a vertical addition of 1 additional story.,,RSUCRE,ENV ON HOLD,ENV ON HOLD,ENV ON HOLD,South of Market,East SoMa (EN); South of Market,Downtown,85-X,MUG,MIXED USE-GENERAL,SUPERVISORIAL DISTRICT 6,"(37.77868902120, -122.40909826400)"
APN 4158011,1,BP APPROVED,5/31/16,1076 RHODE ISLAND ST,,,2.01412E+11,2,1,0,0,,,"$615,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/12/14,,"ADDITION OF UPPER FL ABOVE (E) 2 LEVELS (40'x25'), LOWER LEVEL ADDITION OF (40'X25')REAR ADDITION OF 10'FOR(E)+(N)BLDG AND 12'X15' BUMP OUT IN REAR BLDG. CONST KITCHEN FOR EACH UNIT ALONG W/ 6 BATHRMS AND LIVING SPACE.",RSUCRE,,,,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75615776230, -122.40205617500)"
APN 5428D037,0,BP FILED,7/23/14,108 ORSI CR,,,2.01407E+11,2,1,0,0,,,"$25,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/23/14,,legalize rooms at G/F per plan; remove 2nd kitchen & no longer legalizing unit. COMPLY WITH VIOLATION # 201225081.,KCONNER,,,,Bayview,Bayview Hunters Point,South Bayshore,65-J,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.72821050510, -122.39821842900)"
APN 3726028,0,PL FILED,1/21/16,1082 HOWARD ST,,2015-010371PRJ,,8,8,0,0,,,$0.00 ,,0,-2801,0,0,0,0,0,0,0,0,0,-2801,0,0,8/24/15,"Demolish an existing two story retail sales building and construct a new nine story, eight dwelling, 83.5 foot tall, multi-family residential building. There is no garage/parking. The ground floor will include active space (lobby). The lowest dwelling is",,VBYRD,,,,South of Market,East SoMa (EN); South of Market,Downtown,85-X,MUG,MIXED USE-GENERAL,SUPERVISORIAL DISTRICT 6,"(37.77848795340, -122.40915060700)"
APN 4965029,0,BP FILED,11/10/15,1083 HOLLISTER AV,,,2.01511E+11,2,1,0,0,,,"$10,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/10/15,,"LEGALIZE GROUND FL KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEALIZATION PROGRAM. LEGALIZE GARAGE TO GROUND FL UNIT'S LIVING ROOM. COMPLY WITH NOV #201569083, NOV #201569681, NOV #201567882",YEUNGMIN,,,,Bayview,Bayview Hunters Point,South Bayshore,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.71933392730, -122.39228350500)"
APN 4224049,1,BP REINSTATED,10/1/15,1087 MISSISSIPPI ST,,2014-001648PRJ,2.01308E+11,3,1,0,0,,,"$80,000.00 ",APARTMENTS,0,-1905,0,0,0,0,0,0,0,-1905,0,0,0,0,8/29/13,,CONVERT (E) 2ND FLOOR VACANT LIGHT INDUSTRIAL SPACE INTO RESIDENTIAL UNIT,JMARTIN,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.75290437180, -122.39334793000)"
APN 3703059,1,BP ISSUED,11/17/15,1095 MARKET ST,GRANT BUILDING,,2.01409E+11,202,202,0,0,,,"$14,000,000.00 ",TOURIST HOTEL/MOTEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/11/14,,"CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 203 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (E) STRUCTURE. NEW STAIRS & ELEVATOR.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",CGROB,,,,South of Market,Downtown,Downtown,90-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78032868840, -122.41201361200)"
APN 5710027,0,PL FILED,4/15/15,11 GLADYS ST,,2015-004717PRJ,,2,1,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/15/15,Vertical addition to both the rear and front setbacks to permit an additional dwelling unit.,,SMENDRIN,VAR ON HOLD,VAR ON HOLD,VAR ON HOLD,Bernal Heights,,Bernal Heights,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.73999669630, -122.42230732100)"
APN 7552026,0,BP FILED,11/23/15,11 HILIRITAS AV,,,2.01511E+11,1,1,0,0,,,"$650,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/23/15,,(N) CONTRUCTION OF A 3-STORY SINGLE FAMILY DWELLING,NKWIATKO,,,,Glen Park,,Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 8,"(37.73760797440, -122.43704361800)"
APN 5384C013C,0,BP FILED,5/8/15,11 MADDUX AV,,,2.01505E+11,2,1,0,0,,,"$6,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/8/15,,(N) KITCHEN ON 1ST FL & LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14,NKWIATKO,,,,Bayview,Bayview Hunters Point,South Bayshore,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.73495192490, -122.39798095600)"
APN 3715002,1,CONSTRUCTION,5/3/16,110 THE EMBARCADERO,,2011,2.01312E+11,0,0,0,0,,,"$6,800,000.00 ",CLUB,26425,8425,19887,19887,0,0,6302,-11698,0,0,236,236,0,0,12/9/11,Add one story to existing two-story building to create assembly and office space for Commonwealth Club of California.,"STRUCTURAL UPGRADE OF (E) FOUNDATION. TENANT IMPROVEMENT 1ST & 2ND FLOOR. ADD 1 STORY TO ACCOMADE ASSEMBLY, OFFICE & STORAGE. SPRINKLER & FIRE ALARM ON SEPARATE PERMIT.",PLAVALLE,Closed,Closed,Closed,Financial District,Northeast Waterfront; Downtown,Downtown,84-X,C-3-O,DOWNTOWN- OFFICE,SUPERVISORIAL DISTRICT 6,"(37.79323472800, -122.39265328100)"
APN 4316002,1,PL APPROVED,7/21/15,1100 CESAR CHAVEZ ST,,2015-007177PRJ,,0,0,0,0,,,$0.00 ,,26994,1694,0,0,0,0,8405,4206,18589,-2512,0,0,0,0,6/8/15,"Interior renovations and exterior modifications to existing PDR building. Increase accessory office use by 4,206 sf.",,ERUSSELL,Closed,Closed,Closed,Potrero Hill,Central Waterfront (EN),South Bayshore,80-X,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",SUPERVISORIAL DISTRICT 10,"(37.75045279120, -122.38902035400)"
APN 0757025,1,CONSTRUCTION,7/1/16,1100 GOLDEN GATE AV,1239 TURK ST,2008,2.01207E+11,98,98,98,98,,,"$23,000,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/08,"New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units","TO ERECT 5 STORIES, NO BASEMENT, 98 SENIOR HOUSING WITH PARKING, COMM ROOM & OFFICES BUILDING.",CNIKITAS,Closed,Closed,Closed,Western Addition,,Western Addition,50-X,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",SUPERVISORIAL DISTRICT 5,"(37.78035348790, -122.42950939400)"
APN 0351001,1,CONSTRUCTION,2/4/16,1100 MARKET ST,,2012,2.01305E+11,0,0,0,0,,,"$5,000,000.00 ",TOURIST HOTEL/MOTEL,81015,1440,0,0,0,0,0,0,0,0,12209,3026,68806,-1586,8/29/12,Renovation of existing Hotel - interior renovation and top floor addition,"TENANT IMPROVEMENT AT HOTEL BASEMENT, GROUND FL AND NEW CONSTRUCTION AT ROOF TOP TERRACE PENTHOUSE. MEP, SPRINKLER & FIRE ALARM ON SEPERATE PERMIT
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",KWONG,Closed,Closed,Closed,Downtown/Civic Center,Downtown,Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78090053030, -122.41246993300)"
APN 4211001,0,BP FILED,3/17/15,1100 POTRERO AV,,2015-003800PRJ,2.01503E+11,3,3,0,0,,,"$700,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2/13,,"TO ERECT 4 STORIES, NO BASEMENT, 3 UNITS RESIDENTIAL APARTMENT.  PARTIAL OF (E) STRUCTURE WITH HISTORICAL FEATURES WILL BE RE-ASSEMBLED AS A SUNROOM ON ROOFDECK ABOVE THE 3RD FLOOR OF THE NEW BUILDING.",CTOWNES,ENV PENDING,ENV PENDING,ENV PENDING,Mission,Mission (EN),Mission,55-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75440794930, -122.40681090300)"
APN 4209002,1,BP ISSUED,6/17/16,1110 YORK ST,,,2.01502E+11,2,1,0,0,,,"$690,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/10/15,,ADD 2ND RESIDENTIAL UNIT. 1-STORY VERTICAL ADDITION. 3-STORY ADDITION TO THE SOUTH ELEVATION. PROVIDE HABITABLE SPACE TO THE REAR & THE GARAGE. PROVIDE 2ND PARKING SPACE IN GARAGE.,SETYDIPU,,,,Mission,Mission (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75402692290, -122.40857966300)"
APN 4212011,1,BP APPROVED,3/5/12,1115 POTRERO AV,,,2.01109E+11,2,1,0,0,,,"$84,900.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/21/11,,"CONVERT BASEMENT TO LEGAL DWELLING UNIT INCLUDING KITCHEN, LIVING ROOM, 1 BEDROOM, 1 FULL BATH & LAUNDRY (650 SQ FT)",BFU,,,,Mission,Showplace Square/Potrero Hill (EN),Mission,55-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75403624930, -122.40608257500)"
APN 3730118,0,BP FILED,1/30/14,1117 HOWARD ST,,,2.01401E+11,1,1,0,0,,,"$495,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/30/14,,"CHANGE OF USE. COMPLY W/ NOV 201279657, DEMO INTERIOR, CONSTRUCT 2 BEDROOMS, 1-1/2 BATHS, MEDIA ROOM, KITCHEN, NEW FRONT DOOR ENTRY OFF OF HOWARD ST.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",JSPEIRS,,,,South of Market,Western SoMa (EN); South of Market,South of Market,55-X,WMUG,WSOMA MIXED USE-GENERAL,SUPERVISORIAL DISTRICT 6,"(37.77748650920, -122.40955757700)"
APN 1371039,0,BP FILED,7/29/14,112 12TH AV,,,2.01407E+11,2,1,0,0,,,"$6,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/29/14,,RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO NEW KITCHEN & CONVERT GROUND FLOOR TO A LEGAL DWELLING UNIT UNDER ORDINANCE NO# 43-14.,KCONNER,,,,Inner Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.78591097540, -122.47074960400)"
APN 5971029,1,BP ISSUED,6/22/16,1121 FELTON ST,,2015-009923PRJ,2.01507E+11,2,1,0,0,,,"$46,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/23/15,,"LEGALIZE AS-BUILT WITH ON 1ST FLOOR PER PLAN. CONSIST OF 1 BEDROOM, KITCHEN, FAMILY ROOM, BATHROOM, POWDER & STORAGE.",CLARKECO,Closed,Closed,Closed,Excelsior,,South Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 9,"(37.72686011500, -122.41584808300)"
APN 1219008,1,BP ISSUED,5/31/11,1122 PAGE ST,,2010,2.01003E+11,4,1,0,0,,,"$150,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/10,ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.,"Construct new dwellin unit at ground floor. Renovate building interior, reconfigure dwelling units ON 2 & 3. REFER TO PRE-APPLICATION MINUTES.",GCABRERO,Closed,Closed,Closed,Haight Ashbury,,Buena Vista,40-X,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",SUPERVISORIAL DISTRICT 5,"(37.77216542280, -122.43936507000)"
APN 6173005,1,BP REINSTATED,1/14/14,1123 GIRARD ST,,2009,2.00907E+11,1,1,0,0,,,"$480,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/7/09,,"ERECT A 3 STORIES, SINGLE FAMILY DWELLING.",CTEAGUE,Closed,Closed,Closed,Visitacion Valley,,South Central,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",SUPERVISORIAL DISTRICT 10,"(37.71867696100, -122.40065391500)"
APN 4211021,1,PL APPROVED,12/4/15,1125 HAMPSHIRE ST,,2015-015019PRJ,,2,1,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/15,Proposed addition of (N) dwelling unit to (E) SFH. Vehicle parking in front setback to be replaced with two bicycle parking spaces.,,ERUSSELL,PENDING,PENDING,PENDING,Mission,Mission (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75359283790, -122.40707909200)"
APN 3702047,0,PL FILED,12/18/13,1125 MARKET ST,,2013,,164,164,0,0,,,"$18,000,000.00 ",,3005,3005,0,0,0,0,0,0,0,0,3005,3005,0,0,4/24/13,"Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.",,TBLOMGRE,DNX PENDING,DNX PENDING,DNX PENDING,South of Market,Downtown,Downtown,120-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.77975627090, -122.41273619900)"
APN 3727091,1,BP ISSUED,6/8/16,1125 MISSION ST,,2014-002628PRJ,2.01511E+11,0,0,0,0,,,"$350,000.00 ",OFFICE,37944,0,0,0,0,0,37944,37944,0,-37944,0,0,0,0,1/15/15,Office Allocation to change use from automotive vehicle repair and garage to a general office space.,"CHANGE OF USE FROM (E) S-2 PARKING & STORAGE BUILDING TO A B-OFFICE BUILDING, SCOPE INCLUDES CONSTRUCTION OF (N) MEZZANINE & STAIRS, (N) STORE FRONT GLAZING, (N) WINDOW REPLACEMENT OF (E) WINDOWS AND SIDEWALK IMPROVEMENT. N/A ORDINANCE# 155-13",RSUCRE,Closed,Closed,Closed,South of Market,East SoMa (EN); South of Market,Downtown,65-X,MUO,MIXED USE-OFFICE,SUPERVISORIAL DISTRICT 6,"(37.77848224270, -122.41125992200)"
APN 3727014,1,BP FILED,3/15/16,1126 - 1130 HOWARD ST,,2014-003270PRJ,2.01603E+11,0,0,0,0,,,"$1,100,000.00 ",FOOD/BEVERAGE HNDLNG,18819,0,0,0,0,0,18819,18819,0,0,0,-18819,0,0,12/31/14,Change of use from vacant retail to office within a historic building.,"CHANGE OF USE, TI TO 1ST&2ND FL FOR CONVERSION TO OFFICE USE INCLUDE NEW INTER FINISHES,FIXTURES,EQUIP,PRIVATE OFFICES,CONFERENCE RMS,TRAING OPEN OFFICE,STAFF KITCHEN AREAS,NEW LITEING,HVAC SYS.WORK IN ADDITON TO 201407032538, 201505207576, 201411192030",RSUCRE,Closed,Closed,Closed,South of Market,Western SoMa (EN); South of Market,Downtown,40-X,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,SUPERVISORIAL DISTRICT 6,"(37.77765555530, -122.41040154700)"
APN 4172028,0,BP FILED,9/18/15,1133 TENNESSEE ST,,2015-012830PRJ,2.01509E+11,3,1,0,0,,,"$400,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/18/15,,"NEW HORIZONTAL ADDITION AT REAR OF (E) 3 STORY BLDG, REMODEL + EXPANSION OF 2 (E) TOP FLOOR UNITS, & RENOVATION OF (E) GARAGE & ADDITION OF (N) 1 BEDROOM DWELLING UNIT, 2 (E) TOP UNITS HAVE 1 REMODELED KITCHEN & 1 REMODELED BATH, PLUS 1.5 BATHS EACH. NEW",RSUCRE,COA PENDING,COA PENDING,COA PENDING,Potrero Hill,Central Waterfront (EN),South of Market,40-X,NCT-2,NEIGHBORHOOD COMMERCIAL TRANSIT-2,SUPERVISORIAL DISTRICT 10,"(37.75723293860, -122.38887559400)"
APN 1220020,0,BP FILED,3/14/16,114 LYON ST,,2016-003836PRJ,2.01603E+11,2,-2,0,0,,,$1.00 ,2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/14/16,,NO WORK. WE ARE APPLYING FOR A MERGER TO LEGALIZE THE USE THAT HAS BEEN IN PLACE FOR APPROX 20 YEARS.,LAJELLO,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Haight Ashbury,,Buena Vista,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 5,"(37.77213770320, -122.44202276400)"
APN 3730015,1,CONSTRUCTION,6/29/16,1140 FOLSOM ST,,2013,2.01411E+11,112,112,13,13,On-site BMR Project,Ownership,"$17,450,000.00 ",APARTMENTS,5600,-8981,0,0,0,0,0,0,0,0,5600,-8981,0,0,7/24/13,"The proposed project would remove the existing 14, 581 square feet building and parking lot and replace them with a new residential building over commercial.  Design high efficiency parking with BMR units on site. The proposed project would construct a 4","ERECT 6-STORY, 1 BASEMENT, TYPE 1, 3, 5, RETAIL, PARKING, 112 RESIDENTIAL UNITS BUILDING. COMPLIANCE W/ ORIDINANCE NO 155-13 EXEMPTED.",RSUCRE,Closed,Closed,Closed,South of Market,Western SoMa (EN); South of Market,South of Market,65-X,NCT,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 6,"(37.77623837930, -122.40895221800)"
APN 6038036,1,BP APPROVED,3/9/16,1145 BACON ST,,2015-012201PRJ,2.01509E+11,2,1,0,0,,,"$99,800.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/8/15,,LEGALIZE 3 BEDROOMS W/ 2 BATHROOM UNIT ON 1ST FLOOR. ADD WASHER/DRYER FOR EACH UNIT. ADD NEW FURNACE AND WATER HEATER FOR NEW UNIT AND REPLACE FURNACE AND WATER HEATER. PER ORDINANCE 43-14.,JIMENEZS,Closed,Closed,Closed,Excelsior,,South Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 9,"(37.72473871720, -122.41419353100)"
APN 0691001,0,BP FILED,11/20/15,1145 POLK ST,,2014-001674PRJ,2.01511E+11,54,54,0,0,,,"$8,500,000.00 ",APARTMENTS,6990,-13737,0,0,0,0,0,-12477,0,0,6990,-1260,0,0,7/8/15,Demolition of existing building; construction of mixed-use building with retail space on first floor and 5 floors above of residential space consisting of 54 units of studio apartments.  Modification of existing basement to create subterranean parking lo,"TO ERECT 6 STORIES, 1 BASEMENT, TYPE I-B / III-A, 54 UNITS RESIDENTIAL, RETAIL WITH PARKING BUILDING.",NFOSTER,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Downtown/Civic Center,,Downtown,65-A,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 3,"(37.78746580810, -122.42029839100)"
APN 0134025,0,BP FILED,6/22/15,1148 MONTGOMERY ST,,,2.01506E+11,3,1,0,0,,,"$45,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/22/15,,(REAR BLDG). LEGALIZE A PREVIOUSLY EXISTING NON CONFORMING DWELLING UNIT AS PER 43-14. UNIT A IN THE BASEMENT OF THE REAR BUILDING WILL BE RE ESTABUSHED AS THE NEW UNIT. CHANGE OF USE FROM R-3 TO R-2.,JIMENEZS,,,,North Beach,,Northeast,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 3,"(37.79989251310, -122.40395299900)"
APN 7138056,1,PL APPROVED,8/15/14,115 - 117 PLYMOUTH AV,,2014,2.01407E+11,4,2,0,0,,,"$1,518,640.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/5/14,Demolition of two-family dwelling and construction of four-family dwelling.,"CONSTRUCT NEW 3-STORY, 4-UNIT APARTMENT.",MSMITH,Closed,Closed,Closed,Ocean View,,Ingleside,40-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",SUPERVISORIAL DISTRICT 11,"(37.71196969360, -122.45623165200)"
APN 0105065,1,BP FILED,5/22/15,115 TELEGRAPH HILL BL,,2015-006908PRJ,2.01505E+11,3,3,0,0,,,"$4,750,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/22/15,,"TO ERECT 3 STORIES, 2 BASEMENTS, TYPE I/V B,  3 UNITS RESIDENTIAL BUILDING.",ASBAGHCL,Closed,Closed,Closed,North Beach,,Northeast,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 3,"(37.80160159300, -122.40575006300)"
