Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
339006,130 Turk St,Downtown,CONSTRUCTION,14-Feb-11,9,"convert vacant commercial building (retail / bathhouse) to up to 28 dwelling units (needs ""EE"")","CONVERSION OF (E) 3 STORY OVER BASEMENT BLDG. TO A 5 STORY OVER BASEMENT BLDG. WITH G/F OFFICE PSACE, 9 RESIDENTIAL UNITS AT UPPER FLOORS AND PARKING AT BASEMENT. THE HISTORICAL FACADE AT TURK STREET TO BE RESTORED WITH NEW G/F STORE FRONT AND GARAGE DOOR",Mixed Use Districts,RC-4,304,4999,0,0,0,0,4999,0,2005.031,200605232239,30-Mar-05,23-May-06,80-120-T,RC-4,30-Mar-05,-122.41136,37.78327,272,72,Mixres,-1,Construction,13,9,-6116,0,0,0,0,-6116,0,72,3781,339,6,,,RC-4,80-120-T,6,Shatara Architecture,Suheil Shatara,415 512 7566,Suheil Shatara 415 512 7566,"San Francisco, CA 94107",522 Second Street
343014,181 Turk St,Downtown,BP REINSTATED,10-Mar-09,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use Districts,RC-4,296,3060,0,0,0,0,3060,0,2005.0267,200608230323,16-Mar-05,23-Aug-06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,283,72,Mixres,-1,BP Approved/Issued/Re-Instated,8,32,3060,0,0,0,0,3060,0,72,4744,343,14,8,8,RC-4,80-120-T,6,Gabriel Ng and Associates,Jeremy  Schaub,682-8060x103,Jeremy  Schaub 682-8060x103,"San Francisco,  CA  94122","1360 9th Ave, #210"
345004,220 Golden Gate Av,Downtown,PL Approved,10-Sep-08,174,"The project is the rehabilitation and alteration of the Central YMCA, including the addition of a wellness center and retail space on the ground floor and170-180 units of supportive housing above.  ",,Downtown Commercial Districts,C-3-G,302,28230,15550,3030,,,9650,,2007.098,,13-Feb-08,,80-X,C-3-G,13-Feb-08,-122.414253,37.781955,287,,Mixres,-1,PL Approved,5,172,-30690,0,,-13670,,-17020,,,18766,345,4,,,C-3-G,80-X,6,AF Evans,Bre Jones,510-264-4675,Bre Jones 510-264-4675,"Oakland, CA 94607","1000 Broadway, Suite 300"
347016,399 Golden Gate Av,Downtown,PL Approved,27-Nov-07,0,"The proposal is the construction of a new Shih Yu-Lang Central YMCA Community Facility on land owne by the Hastings College of Law.  The new facility would include approcimately 53,000 gsf in four stories above a full basement at a height of about 76 feet",,Mixed Use Districts,RC-4,286,53000,0,0,0,0,53000,0,2006.1532,,28-Dec-06,,80-T,RC-4,28-Dec-06,-122.416948,37.78135,291,,Retail/Ent,-1,PL Approved,5,0,53000,0,0,0,0,53000,0,,12754,347,13,0,-1,RC-4,80-T,6,Equity Community Builders,Suzanne  Brown,561-6200,Suzanne  Brown 561-6200,San Francisco CA 94129,"38 Keyes Ave,"
348015,277 Golden Gate Av,Downtown,BP ISSUED,22-Dec-08,88,"remodel existing 5-story building containing a TV studio into a 6-story apartment building, for a total of 92 dwelling units with 23 parking spaces.","REVISION TO APPL#9825929-S & 200610195538, CHANGE UNIT COUNT FROM 92 TO 88. REVISE PREVIOUSLY APPROV",Downtown Commercial Districts,C-3-G,286,0,0,0,0,0,0,0,1998.42,200710185824,17-Feb-99,18-Oct-07,80-X,C-3-G,17-Feb-99,-122.415039,37.781577,292,,Resident,-1,BP Approved/Issued/Re-Instated,11,88,-49945,0,0,-49945,0,0,0,,11982,348,15,23,23,C-3-G,80-X,6,PANCO Development Inc.,PANCO Development Inc.,433-0177,PANCO Development Inc. 433-0177,"San Francisco, CA 94108","243 Kearny St.,"
349001,101 Golden Gate Av,Downtown,BP ISSUED,24-Aug-11,90,"Request for a Conditional Use authorization for a mixed-use building exceeding 40 feet in an R District, for future philanthropic uses above the ground floor, and exceptions to parking, rear yard, upper story front setback requirements in order to constru","ERECT 10 STORIES, 90 DWELLING UNITS, 1 BASEMENT, DINING, SOCIAL SERVICES, AFFORDABLE APARTMENTS BUIL",Mixed Use Districts,RC-4,296,20000,0,20000,0,0,0,0,2005.0869,201012156753,5-Jun-08,15-Dec-10,80-120-T,RC-4,5-Jun-08,-122.412374,37.781936,293,72,Mixres,-1,BP Approved/Issued/Re-Instated,11,90,20000,20000,0,0,0,0,0,72,14393,349,1,,,RC-4,80-120-T,6,Reuben & Junius,Joel  Yodowitz,415 567 9000,Joel  Yodowitz 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
491020,3342 Steiner St,Marina,BP Filed,17-Jan-08,1,,Interior remodel of (E) second floor. Convert (E) office use to residential (1 unit).,Neighborhood Commercial Zoning Districts,NC-2,815,0,,,,,,,,200801172733,,17-Jan-08,40-X,NC-2,17-Jan-08,-122.4376,37.800086,316,,Resident,0,BP Filed,6,1,0,,,,,,,,2500,491,20,,,NC-2,40-X,2,,,,,,
492025,2026 Lombard St,Marina,BP ISSUED,11-Apr-07,0,"The proposed project involves the demolition of an 8,630 gsf, two-story (over grade parking) 30-room motel and construction of a 49,001gsf, 4-story hotel containing 97 rooms.",ERECT A NEW 4 STORY 89 UNIT TOURIST HOTEL W/ GARAGE,Neighborhood Commercial Zoning Districts,NC-3,819,40370,0,0,0,0,0,40370,2002.0497,200606023107,11-Jun-02,2-Jun-06,40-X,NC-3,11-Jun-02,-122.43494,37.800127,319,,Visitor,-1,BP Approved/Issued/Re-Instated,11,0,40370,0,0,0,0,0,40370,,13612,492,25,78,46,NC-3,40-X,2,,Reinargus and Sigri Engelen,415.884.2879,Reinargus and Sigri Engelen 415.884.2879,"Novato, CA  94948",P.O. Box 12
500015,1268-1270 Lombard St,Northeast,BP Filed,22-Dec-10,4,"Vacant lot. New construction of 4-unit, 5-story residential building with basement.","ERECT 5 STORIES, 4 UNITS, TYPE 3, RESIDENTIAL BUILDING.",Residential Zoning Districts,RH-3,817,0,,,,,,,2009.1029,201012227210,17-Nov-09,22-Dec-10,40-X,RH-3,17-Nov-09,-122.42234,37.801744,327,,Resident,0,BP Filed,2,4,0,,,,,,,,4261,500,15,4,4,RH-3,40-X,2,Kerman Morris Architecture,Edward Morris,415 749-0302,Edward Morris 415 749-0302,"San Francisco, CA  94133",69A Water Street
503015,2842 Franklin St,Marina,CONSTRUCTION,11-Mar-09,2,,CREATE NEW 2-STORY RESIDENCE ABOVE EXISTING.REMODEL EXIST RES & GARAGE.NEW REAR ADDITION&2-STORY....,Neighborhood Commercial Zoning Districts,NC-3,378,0,0,0,0,0,0,0,,200501042534,,4-Jan-05,40-X,NC-3,4-Jan-05,-122.425978,37.800645,330,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2744,503,15,,,NC-3,40-X,2,,,,,,
510029,2157 Lombard St,Marina,BP Filed,21-May-07,3,,"TO COMPLY WITH NOV#200665975 TO ESTABLISH LEGALITY OF UNITS # OF (3) TOTAL, TO ESTABLISH LEGALITY OF",Neighborhood Commercial Zoning Districts,NC-3,815,0,,,,,,,,200705211788,,21-May-07,40-X,NC-3,21-May-07,-122.436934,37.7996,336,,Resident,0,BP Filed,6,1,0,,,,,,,,2441,510,29,,,NC-3,40-X,2,,,,,,
527002,2559 Van Ness Av,Marina,BP Filed,1-Jun-11,27,Demolish gas station and remove USTs; no new construction yet proposed,"TO ERECT 6 STORIES, 27 UNITS RESIDENTIAL / RETAIL / GARAGE BUILDING.",Mixed Use Districts,RC-3,366,0,,,,,,,2009.0024,201106017181,12-Jan-09,1-Jun-11,65-A,RC-3,12-Jan-09,-122.424255,37.799075,355,,Resident,-1,BP Filed,14,27,-2347,0,0,0,0,-2347,0,,8401,527,2,,,RC-3,65-A,2,,,,,,
528008,1662-1664 Union St.,Marina,BP Filed,25-Jun-07,7,Demo of existing; construction of new 7 unit four-story building.," ERECT: 1 4 STORY, 7 UNIT TYPE 5 RESIDENTIAL STRUCTURE.",Neighborhood Commercial Zoning Districts,UNION,366,0,,,,,,,2007.0598,200706255058,19-Jun-07,25-Jun-07,40-X,UNION,19-Jun-07,-122.426636,37.798352,356,,Resident,-1,BP Filed,6,4,0,,,,,,,,4236,528,8,,,UNION,40-X,2,Crissius Properties,Anand Gohel,415-896-5838,Anand Gohel 415-896-5838,"San Francisco, CA 94107","500 Bryant Street, Ste. 101"
531004,2919 Laguna St,Marina,PL Approved,22-Oct-09,2,Demolition of existing single-family dwelling and construction of new 2-unit residence.,,Residential Zoning Districts,RH-2,360,0,,,,,,,2008.1349,,17-Mar-09,,40-X,RH-2,17-Mar-09,-122.430755,37.797923,358,,Resident,-1,PL Approved,5,1,0,,,,,,,,2421,531,4,,,RH-2,40-X,2,Hennessey Salge Architecture LLP,Michael Hennessey,510.655.4913,Michael Hennessey 510.655.4913,"Oakland, Ca  94609","5427 Telegraph Avenue, Ste E3"
550004,2237 Polk St,Northeast,BP Filed,2-Jul-07,2,,ADD 1 STORY TO MAKE 1 ADDITIONAL RESIDENTIAL UNIT. ADD STRUCUTRAL BRACING ON GROUND FLOOR RESTAURANT,Neighborhood Commercial Zoning Districts,POLK,367,0,,,,,,,,200707025741,,2-Jul-07,65-A,POLK,2-Jul-07,-122.422126,37.797416,376,,Resident,0,BP Filed,6,1,0,,,,,,,,2113,550,4,,,POLK,65-A,3,,,,,,
557019,2151 Green St,Marina,BP ISSUED,2-Aug-11,1,"To construct a 6-story, single-family house o a vacant lot in an RH-2 district.",ERECT:1  5-story single family dwelling,Residential Zoning Districts,RH-2,359,0,,,,,,,2008.0215,200702134062,15-Feb-08,13-Feb-07,40-X,RH-2,13-Feb-07,-122.434441,37.79614,380,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,4400,557,19,,,RH-2,40-X,2,AZ Design & Engineering Inc. ,Abrahm Zavala,650-553-4031,Abrahm Zavala 650-553-4031,"South San Francisco, CA 94080",400 Oyster Point Blvd. # 438
570010,1622 Broadway ,Marina,PL Approved,12-Mar-09,34,CU for 34 dwelling unit building,,Residential Zoning Districts,RM-3,353,0,,,,,,,2008.0862,,22-Jul-08,,80-A,RM-3,22-Jul-08,-122.423903,37.795806,391,,Resident,-1,PL Approved,5,34,0,,,,,,,,13611,570,10,,,RM-3,80-A,2,Reuben & Junius,Joel  Yodowitz,415 567 9000,Joel  Yodowitz 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
671006,1450 Franklin St,Western Addition,BP REINSTATED,25-Jun-09,69,,"ERECT A 13 STORIES 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING;
DEMOLISH A 2 STORY AUTO SALES AND SERVICE GARAGE",Neighborhood Commercial Zoning Districts,NC-3,330,0,,,,,,,,200809252660,,25-Sep-08,130-E,NC-3,25-Sep-08,-122.423355,37.788011,473,,Resident,-1,BP Approved/Issued/Re-Instated,8,69,-24000,,0,0,0,-24000,0,,12319,671,6,,,NC-3,130-E,2,,,,,,
691008,1285 Sutter St,Downtown,BP ISSUED,15-Aug-11,107,"Demolition of an existing movie theater and construction of 13-story mixed-use building with 120 dwelling units, appx. 180 off-street parking spaces, and appx. 16,500 gsf of ground floor commercial use.","TO ERECT 13 STORIES, 107 CONDOS AND GROUND FLOOR COMMERICIAL WITH 4 BASEMENTS.",Mixed Use Districts,RC-4,319,16500,,,,,16500,,2005.0298,200712069866,28-Feb-06,6-Dec-07,130-V,RC-4,28-Feb-06,-122.42135,37.787456,485,,Mixres,-1,BP Approved/Issued/Re-Instated,11,107,-8308,,,,,-8308,,,21797,691,8,180,180,RC-4,130-V,3,Reuben & Junius LLP,Tuija I. Catalano,415 567-9000,Tuija I. Catalano 415 567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
711031,1100 Ellis St,Western Addition,PL Approved,6-Aug-09,0,"New theater within courtyard of Sacred Heart Cathedral Preparatory School, within the St. Mary's Cathedral complex, 11,513-sf of new construction, interior alterations.",,Residential Zoning Districts,RM-4,681,65282,,65282,,,,,2008.1286,,26-Mar-09,,80-B/240-E,RM-4,26-Mar-09,-122.424658,37.783489,495,,CIE,-1,PL Approved,3,0,11513,11513,,,,,,,61106,711,31,,,RM-4,80-B/240-E,6,Sacred Heart Cathedral Preparatory,Brother Christopher Brady F.S.C.,775-6626x768,Brother Christopher Brady F.S.C. 775-6626x768,"San Francisco, CA 94109-7795",1055 Ellis Street
729046,1210 Scott Street,Western Addition,PL Filed,8-Jun-07,18,First-time Homeownership - avg. 80pct AMI,,Residential Zoning Districts,RM-3,301,0,0,0,0,0,0,0,,,,8-Jun-07,65-A,RM-3,8-Jun-07,-122.437129,37.780997,507,,Resident,0,Planning Filed,,18,0,0,0,0,0,0,0,,20252,729,44,,0,RM-3,65-A,5,,,,,,
756001,1345 Turk St,Western Addition,CONSTRUCTION,15-Sep-11,32,Construct 32 affordable units with 24 off-street parking spaces on former Redevelopment property. New lot number 017. Project previously approved by Redevelopment but project was modified and did not receive building permits prior to expiration of Western,"REVISION TO APPROVED SITE 200901233098S. REDUCE BUILDING SIZE BY 12,541 AND NUMBER OF STORIES FOR 4 ",Other,P,281,0,,,,,,,2009.1064,200911131168,12-Nov-09,13-Nov-09,50-X,P/NC-3,12-Nov-09,-122.431217,37.780465,522,,Resident,-1,Construction,13,32,0,,,,,,,,56719,756,1,,,P/NC-3,50-X,5,"MSPDI TURK, LLC",Michael  Simmons,415.845.5527,Michael  Simmons 415.845.5527,"San Francisco, CA  94114","2370 Market St, #458"
757025,1100 Golden Gate Av,Western Addition,PL Approved,18-Dec-08,297,"New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units",,Residential Zoning Districts,RM-3,281,0,,,,,,,2008.1162,,11-Dec-08,,50-X,RM-3,11-Dec-08,-122.428767,37.780045,523,,Resident,-1,PL Approved,5,98,0,,,,,,,,102094,757,25,,,RM-3,50-X,5,TNDC,Shannon Dodge,415-358-3930,Shannon Dodge 415-358-3930,"SF, CA  94102",201 Eddy Street
766001,525 Golden Gate Av,Downtown,CONSTRUCTION,4-Jun-10,0,"Final design concept for construction of a 14-story, 181-foot-high City Administrative Office Building",,Other,P,648,277000,277000,0,0,0,0,0,2002.04,201006043859,16-Apr-02,,200-L,P,16-Apr-02,-122.419264,37.781034,529,,MIPS,-1,Construction,2,,277000,0,0,277000,0,0,0,,21780,766,1,,,P,200-L,6,Department of Public Works,Nick Circosta,554-5800,Nick Circosta 554-5800,"San Francisco, CA  94103-0942","875 Stevenson St, Ste 460"
768013,701 Golden Gate Av,Market Octavia,BP ISSUED,21-Aug-07,100,,ERECT 8 STORIES OF 100 DWELLING UNITS.,Neighborhood Commercial Zoning Districts,NCT-3,683,0,0,0,0,0,0,0,,200610235755,,23-Oct-06,50-X/120-X,NCT-3,23-Oct-06,-122.422252,37.780686,531,,Resident,-1,BP Approved/Issued/Re-Instated,11,100,0,0,0,0,0,0,0,,16500,768,13,,,NCT-3,50-X/120-X,6,,,,,,
794015,746 Laguna St,Market Octavia,PL Approved,13-May-10,136,"Demolition of existing 2-story industrial and office bldgs. of 19,620 sf with 70 parking spaces.  Construct residential bldg. of 143 units with 21,945 sf of commercial space on the ground floor, and 165 parking spaces.  22 parking spaces will be at the gr",,Residential Zoning Districts,RTO,268,19620,19620,0,0,0,0,0,2005.1085,,29-Aug-08,,40-50-X,RTO,29-Aug-08,-122.426447,37.777818,539,,Mixres,-1,PL Approved,5,136,2325,0,0,-19620,0,21945,0,,44250,794,15,70,95,RTO,40-50-X,5,Trust for Children of Henry Wong,Henry Wong,CA 94039,Henry Wong CA 94039,Mountain View,P.O. Box 391656
807010,580 Hayes St,Market Octavia,PL APPROVED,9-Mar-11,90,Construction of a five-story residential care facility with dwelling units on the top floor and retail on the ground floor.,"ERECT A FIVE STORIES, 90 UNITS (SENIOR HOUSING)",Neighborhood Commercial Zoning Districts,HAYES NCT,268,45632,0,0,38000,0,7632,0,2011.0229,200808078678,6-Jul-05,7-Aug-08,55-X,HAYES NCT,6-Jul-05,-122.425884,37.776651,541,,Mixres,-1,PL Approved,6,90,42432,0,38000,0,0,4432,0,,12020,807,10,,,HAYES NCT,55-X,5,,Daniel Schalit,415-227-2217,Daniel Schalit 415-227-2217,"San Francisco, CA 94105","121 Spear Street, Suite 250"
808036,401 Grove Street,Market Octavia,PL Approved,14-Jul-11,63,"CU/PUD Amendment to previous PUD approval (Case No. 2007.0487C). Project proposes 63 dwelling units, 5,200 sf of retail uses, and 37 parking spaces. Architecture has been revised from previous approval. PUD Modifications requested for rear yard, usable op",ERECT 5 STORIES WITH 63 DWELLING UNITS,Neighborhood Commercial Zoning Districts,HAYES NCT,619,5250,,,,,5250,,2011.0399,201101289274,25-Apr-11,28-Jan-11,40-X/50-X,HAYES NCT,28-Jan-11,-122.423316,37.777677,545,4,Mixres,-1,PL Approved,5,63,5250,,,,,5250,,4,22795,808,36,37,37,HAYES NCT,40-X/50-X,5,Farella Braun & Martell,Steven L. Vettel,415-954-4902,Steven L. Vettel 415-954-4902,"San Francisco, CA  94104",235 Montgomery Street
813007,1390 Market St,Market Octavia,PL Approved,28-May-09,230,"Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wou",,Downtown Commercial Districts,C-3-G,647,17500,0,0,0,0,17500,0,2005.0979,,19-Oct-05,,120-X/200-S,C-3-G,19-Oct-05,-122.417444,37.776791,547,72,Mixres,-1,PL Approved,5,230,-1500,0,0,-9500,0,8000,0,72,64430,813,6,411,0,C-3-G,120-X/200-S,6,Reuben & Junius,Tuija Catalano,415-567-9000,Tuija Catalano 415-567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
816003,205 Franklin St,Market Octavia,CONSTRUCTION,21-Sep-11,0,"MEA Desc.: The project is demolition of existing autobody/repair shop and construction of three-story performing arts venue for jazz music and education; 
two schemes under consideration, maximum development 37,400-sf. 
NP Desc: CU Authorization for Other","TO ERECT 4 STORIES, PERFORMING ARTS VENUE, EDUCATION, ADMIN, CAFE.
(n) bldg. 4-stories on the corner",Neighborhood Commercial Zoning Districts,HAYES NCT,259,35000,0,12000,,,23000,,2008.1234,201004130190,23-Jun-10,13-Apr-10,40-X/50-X/65-,HAYES NCT,13-Apr-10,-122.421271,37.776253,553,8,Mixed,-1,Construction,13,0,14500,12000,,-4000,,6500,,8,16565,816,3,4,4,HAYES NCT,40-X/50-X/65-,6,SFJazz,Deborah Frieden,510-701-7071,Deborah Frieden 510-701-7071,"Emeryville, CA 94608","1900 Powell St, Suite 470"
818020,476 Linden St,Market Octavia,BP APPROVED,9-Jun-09,2,,ERECT 4 STORIES 2 DWELLING UNITS BLDG.,Neighborhood Commercial Zoning Districts,HAYES NCT,268,0,,,,,,,,200703126040,,12-Mar-07,40-X,HAYES NCT/RTO,12-Mar-07,-122.425742,37.776202,556,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,,,,,,,,3314,818,20,,,HAYES NCT/RTO,40-X,5,,,,,,
828012,735 Fell St,Western Addition,PL Approved,2-Feb-08,0,"PUD for Demolition of two structures (rectory and convent), new construction for Megan Furth Academy (K-8) expansion.",,Residential Zoning Districts,RM-1,265,38000,,38000,,,,,2007.0677,,3-Jul-07,,40-X,RM-1,3-Jul-07,-122.429934,37.7749,562,,CIE,-1,PL Approved,4,0,16000,16000,,,,,,,44808,828,12,,,RM-1,40-X,5,,Bill Campbell,415-346-3500,Bill Campbell 415-346-3500,"San Francisco, CA 94117",735 Fell Street
832025,300 Octavia St,Market Octavia,BP Filed,1-Oct-08,16,,TO ERECT 16 DWELLING UNIT WITH 5 STORIES NEW BLDG(CONDO AND RETAIL),Neighborhood Commercial Zoning Districts,HAYES NCT,259,0,,,,,,,,200810013158,,1-Oct-08,50-X,HAYES NCT,1-Oct-08,-122.423957,37.774903,566,4,Resident,0,BP Filed,6,16,0,,,,,,,4,9863,832,25,,,HAYES NCT,50-X,5,,,,,,
832026,360 Octavia St,Market Octavia,BP Filed,1-Oct-08,16,Shadow Analysis,TO ERECT 16 DWELLING UNITS WITH 5 STORIES NEW BLDG(CONDO AND RETAIL),Neighborhood Commercial Zoning Districts,HAYES NCT,259,1000,,,,,1000,,2008.0428,200810013162,11-Apr-08,1-Oct-08,50-X,HAYES NCT,11-Apr-08,-122.424008,37.77545,567,4,Mixres,0,BP Filed,6,16,1000,,,,,1000,,4,19676,832,26,,,HAYES NCT,50-X,5,Envelope,Douglas Burnham,510-839-0140,Douglas Burnham 510-839-0140,"Oakland, CA  94607",1661 20th St #1
837003,1 Franklin St,Market Octavia,BP Filed,3-Dec-09,35,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,Neighborhood Commercial Zoning Districts,NCT-3,588,2384,,,,,2384,,2010.0102,200912032516,19-Feb-10,3-Dec-09,50-X/85-X,NCT-3,3-Dec-09,-122.420842,37.774342,574,72,Mixres,-1,BP Filed,6,35,2384,,,,,2384,,72,6606,837,3,18,18,NCT-3,50-X/85-X,6,Forum Design,Warner Schmalz,415-252-7063,Warner Schmalz 415-252-7063,"San Francisco, CA  94103",1014 Howard St.
839025,335 Oak St,Market Octavia,BP ISSUED,15-Jun-11,16,"Insert 4 new dwelling units in partial basement of existing residential buildings. Lot has two buildings, 335-341 Oak and 230 Lily. 230 Lily is a contributory building to the California register. Requires CU for density and V for open space",230 LILY STREET-CONVERT (E) STORAGE AT 1ST FLOOR INTO 2 NEW DWELLING UNITS,Residential Zoning Districts,RTO,587,0,,,,,,,2008.0988,200806305670,21-Oct-08,30-Jun-08,40-X,RTO,30-Jun-08,-122.424848,37.774648,575,,Resident,-1,BP Approved/Issued/Re-Instated,11,4,0,,,,,,,,3698,839,25,,,RTO,40-X,5,Shatara Architecture,Suheil Shatara,415 512 7566,Suheil Shatara 415 512 7566,"San Francisco, CA 94107",522 Second Street
853021,102-104 Octavia Street,Market Octavia,PL Filed,8-Jun-07,30,Youth housing,,Neighborhood Commercial Zoning Districts,HAYES NCT,587,0,0,0,0,0,0,0,,,,8-Jun-07,50-X,HAYES NCT,8-Jun-07,-122.423554,37.773097,579,4,Resident,0,Planning Filed,2,30,0,0,0,0,0,0,0,4,13200,853,21,,0,HAYES NCT,50-X,5,,,,,,
854001,1600 Market St,Market Octavia,BP REINSTATED,16-Sep-11,24,"The project would demolish an existing commercial building and construct a new nine-story structure approximately 84 fee tall with ground floor restaurant (3,700 sq. ft.) and below ground parking for 8 spaces.  Total gross building area is 41,435 square f","TO ERET 5 STORIES, 24 UNITS RESIDENTIAL, RETAIL, STORAGE BUILDING.",Neighborhood Commercial Zoning Districts,NCT-3,588,12100,,,,,12100,,2007.0966,201109074027,16-May-11,7-Sep-11,85-X,NCT-3,16-May-11,-122.420801,37.774013,580,,Mixres,-1,BP Approved/Issued/Re-Instated,5,24,16889,,,,,6889,,,5242,854,1,,,NCT-3,85-X,6,Overtime Partners LLC,Brian Spiers,415-445-4670,Brian Spiers 415-445-4670,San Francisco CA 94111,"388 Market Street, Suite 1300"
