,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
17198,,140 JASPER PL,0103032,2010-03-04,PL FILED,,,,2010-03-04,2010-03-04,2010-03-04 00:00:00,2010-03-04,PL FILED,"('2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2014,Proposed,4.0,2.0,-122.40834699999999,37.801133,RM-2,RM-2
1186,2016-08-10,115 TELEGRAPH HILL BL,0105065,2017-09-22,CONSTRUCTION,2017-09-22,2017-09-22,201505227051,2015-05-22,2015-05-22,2015-05-22,2017-09-22,CONSTRUCTION,"('2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22', '2016-08-10', '2016-08-10', '2016-08-10', '2017-09-22')",854.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,3.0,3.0,,,,
196,,377 FILBERT ST,0105065,2013-08-21,PL FILED,,,,2013-08-21,2013-08-21,2013-08-21,2013-08-21,PL FILED,"('2013-08-21', '2013-08-21', '2013-08-21', '2013-08-21', '2013-08-21', '2013-08-21', '2013-08-21')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2015,Proposed,3.0,2.0,-122.40575006200001,37.801601593,RH-3,RH-3
1967,,357 UNION ST,0114036,2017-05-01,BP FILED,,,201705015312,2017-05-01,2017-05-01,,2017-05-01,BP FILED,"('2017-05-01',)",,"('BP FILED',)",2,2017,Proposed,3.0,2.0,,,,
1942,,788 GREEN ST,0118025,2017-03-08,PL APPROVED,,,201608185406,2016-08-18,2016-08-18,2016-08-18,2017-03-08,PL APPROVED,"('2016-08-18', '2016-08-18', '2016-08-18', '2017-03-08')",,"('BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,3.0,1.0,,,,
2245,2016-07-25,852 GREEN ST,0119017,2017-09-29,CONSTRUCTION,2017-09-29,2017-09-29,201404183603,2014-04-18,2014-04-18,2014-04-18,2017-09-29,CONSTRUCTION,"('2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2014-04-18', '2016-07-25', '2016-10-11', '2016-10-11', '2017-09-29')",1260.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,,,RM-2,RM-2
1750,2011-06-16,1812 TAYLOR ST,0119025,2011-07-13,BP ISSUED,,,200709193055,2007-09-19,2007-09-19,2007-09-19,2011-07-13,BP ISSUED,"('2007-09-19', '2007-09-19', '2007-09-19', '2007-09-19', '2010-09-08', '2011-01-24', '2011-01-24', '2011-06-16', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13', '2011-07-13')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,3.0,1.0,,,RM-2,RM-2
17214,2012-02-15,1945 HYDE ST,0123002,2014-07-07,CONSTRUCTION,10/01/2014,2012-07-11,201005172557,2010-03-10 00:00:00,2010-05-17,2010-03-10 00:00:00,2014-07-07,CONSTRUCTION,"('2010-05-17', '2010-05-17', '2010-05-17', '2010-05-17', '2010-05-17', '2010-05-17', '2012-02-15', '2012-02-15', '2012-07-11', '2012-10-17', '2012-12-12', '2013-04-24', '2013-06-19', '2013-09-27', '2013-12-10', '2013-12-10', '2014-06-25', '2014-07-07')",1666.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,7.0,7.0,-122.41926699999999,37.798827,NC-1,NC-1
17381,,1241 GREEN ST,0124041,2013-12-23,BP FILED,,,201312234910,2013-02-27,2013-02-27,2013-02-27,2013-12-23,BP FILED,"('2013-02-27', '2013-02-27', '2013-02-27', '2013-12-23', '2013-12-23', '2013-12-23', '2013-12-23')",,"('PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2014,Proposed,3.0,1.0,-122.41951200000001,37.797981,RH-3,RH-3
1611,,1803 JONES ST,0126007,2016-10-11,BP FILED,,,201610119931,2016-10-11,2016-10-11,2016-10-11,2016-10-11,BP FILED,"('2016-10-11', '2016-10-11', '2016-10-11')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
30431,,1039 GREEN ST,0126026,2008-10-16,BP FILED,,,200810164303,2008-10-16,2008-10-16,2008-10-16,2008-10-16,BP FILED,"('2008-10-16',)",,"('BP FILED',)",3,2009,Proposed,2.0,-1.0,-122.41623700000001,37.798471,RH-2,RH-2
28860,,1750 TAYLOR ST,0128C028,2016-06-02,PL APPROVED,,,201506239654,2015-06-11,2016-06-02,2015-06-11,2016-06-02,PL APPROVED,"('2016-06-02', '2016-06-02')",,"('PL APPROVED', 'PL APPROVED')",4,2016,Proposed,1.0,-1.0,-122.41303175700001,37.7987200417,RM-2,RM-2
30484,,860 VALLEJO ST,0129013A,2009-02-02,CONSTRUCTION,10/01/2009,2009-02-02,200411240118,2002-11-13,2009-02-02,2002-11-13,2009-02-02,CONSTRUCTION,"('2009-02-02',)",2514.0,"('CONSTRUCTION',)",3,2009,Under Construction,2.0,2.0,-122.41143500000001,37.798384999999996,RM-2,RM-2
30816,,735 GREEN ST,0129031,2007-10-29,PL FILED,,,,2007-10-29,2007-10-29,2007-10-29,2007-10-29,PL FILED,"('2007-10-29',)",,"('PL FILED',)",3,2009,Proposed,9.0,4.0,-122.41113600000001,37.799112,RM-2,RM-2
2167,,752 VALLEJO ST,0130012,2016-07-19,BP FILED,,,201607192782,2016-06-14,2016-06-14,2016-06-14,2016-07-19,BP FILED,"('2016-06-14', '2016-07-19', '2016-07-19', '2016-07-19', '2016-07-19')",,"('PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,4.0,0.0,,,,
11610,2014-08-20,778 VALLEJO ST,0130020,2015-10-22,CONSTRUCTION,01/01/2016,2015-03-27,201311051179,2013-11-05,2013-11-05,2013-11-05,2015-10-22,CONSTRUCTION,"('2013-11-05', '2013-11-05', '2013-11-05', '2014-08-20', '2015-03-27', '2015-04-06', '2015-06-15', '2015-10-22', '2015-10-22')",787.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,3.0,1.0,-122.410102329,37.7986075252,NCD,NCD
2117,,1526 POWELL ST,0130025,2015-12-30,BP FILED,,,201512306193,2015-12-30,2015-12-30,2015-12-30,2015-12-30,BP FILED,"('2015-12-30', '2015-12-30', '2015-12-30', '2015-12-30', '2015-12-30')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,0.0,0.0,,,,
15862,,1526 POWELL STREET,0130025,2015-12-30,BP FILED,,,201512306193,2015-12-30,2015-12-30,2015-12-30,2015-12-30,BP FILED,"('2015-12-30',)",,"('BP FILED',)",1,2016,Proposed,0.0,0.0,-122.41020300000001,37.7989376831,NCD-NORTH BEACH,NCD-NORTH BEACH
13853,,1131 MONTGOMERY ST,0133006A,2008-09-26,PL APPROVED,,,,2007-02-23,2007-02-23,2007-02-23,2008-09-26,PL APPROVED,"('2007-02-23', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2013,Proposed,2.0,1.0,-122.40451399999999,37.799531,RH-3,RH-3
13966,2010-11-29,414 VALLEJO ST,0133012,2012-12-13,CONSTRUCTION,07/01/2014,2011-05-23,200712281517,2007-12-28,2007-12-28,2007-12-28,2012-12-13,CONSTRUCTION,"('2007-12-28', '2007-12-28', '2007-12-28', '2007-12-28', '2007-12-28', '2010-11-29', '2011-03-17', '2011-05-23', '2011-08-09', '2011-10-26', '2012-02-28', '2012-02-28', '2012-02-28', '2012-11-16', '2012-12-13', '2012-12-13', '2012-12-13', '2012-12-13', '2012-12-13', '2012-12-13')",2377.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2014,Under Construction,3.0,1.0,-122.404422,37.799307,RH-3,RH-3
1599,,1148 MONTGOMERY ST,0134025,2016-09-21,BP FILED,,,201609218400,2015-06-22,2015-06-22,2015-06-22,2016-09-21,BP FILED,"('2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22', '2015-09-23', '2016-09-21', '2016-09-21')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
2156,,1088 SANSOME ST,0135009,2016-07-28,BP FILED,,,201607283632,2016-07-28,2016-07-28,2016-07-28,2016-07-28,BP FILED,"('2016-07-28', '2016-07-28', '2016-07-28', '2016-07-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,0.0,0.0,,,,
2164,,940 BATTERY ST,0136004A,2016-07-06,PL FILED,,,,2015-11-03,2016-07-06,2015-11-03,2016-07-06,PL FILED,"('2016-07-06', '2016-07-06', '2016-07-06', '2016-07-06')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,0.0,0.0,,,,
2456,,SEAWALL LOTS 323 & 324,0138001,2016-04-14,PL FILED,,,,2015-12-30,2016-04-14,2015-12-30,2016-04-14,PL FILED,"('2016-04-14', '2016-04-14', '2016-04-14', '2016-04-14', '2016-04-14')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,0.0,0.0,,,,
1258,,SEAWALL LOT 322-1,0140007,2016-08-09,PL FILED,,,,2016-07-29,2016-08-09,2016-07-29,2016-08-09,PL FILED,"('2016-08-09', '2016-08-09', '2016-08-09')",,"('PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,182.0,182.0,,,,
23455,2014-01-03,850 BATTERY ST,0141008,2015-04-01,CONSTRUCTION,01/01/2015,2014-02-11,201304023614,2012-02-29,2012-02-29,2012-02-29,2015-04-01,CONSTRUCTION,"('2012-02-29', '2012-02-29', '2012-11-05', '2012-11-05', '2012-11-05', '2013-04-02', '2013-04-02', '2014-01-03', '2014-02-11', '2014-02-11', '2014-02-11', '2015-04-01')",1037.0,"('PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,2.0,2.0,-122.40110630000001,37.7994579,C-2,C-2
18711,,567 VALLEJO ST,0145035,2009-02-25,CONSTRUCTION,01/01/2010,2009-02-25,200302288538,2003-02-28,2009-02-25,2003-02-28,2009-02-25,CONSTRUCTION,"('2009-02-25', '2009-02-25')",2499.0,"('CONSTRUCTION', 'CONSTRUCTION')",4,2009,Under Construction,2.0,2.0,-122.406682,37.798768,RM-1,RM-1
1357,,1234 GRANT AV,0145044,2016-12-12,PL APPROVED,,,201507091099,2015-07-09,2015-07-09,2015-07-09,2016-12-12,PL APPROVED,"('2015-07-09', '2015-07-09', '2015-07-09', '2015-07-09', '2015-07-09', '2015-07-09', '2016-12-12')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,4.0,4.0,,,,
5567,,1234 GRANT AVE,0145044,2015-07-09,BP FILED,,,201507091099,2015-07-09,2015-07-09,2015-07-09,2015-07-09,BP FILED,"('2015-07-09',)",,"('BP FILED',)",3,2015,Proposed,4.0,4.0,-122.40700243200001,37.7986478663,NCD,NCD
1150,,18 TURK MURPHY LN,0147022,2016-10-28,BP FILED,,,201610281361,2016-10-28,2016-10-28,2016-10-28,2016-10-28,BP FILED,"('2016-10-28', '2016-10-28', '2016-10-28')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,6.0,6.0,,,,
1431,2017-02-14,859 VALLEJO ST,0148022,2017-02-14,BP ISSUED,,,201607283688,2015-11-18,2015-11-18,2015-11-18,2017-02-14,BP ISSUED,"('2015-11-18', '2015-11-18', '2016-07-01', '2016-07-28', '2016-07-28', '2017-02-14', '2017-02-14')",,"('PL FILED', 'PL FILED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,10.0,4.0,,,,
7665,,908 BROADWAY,0149010,2014-04-17,PL FILED,,,,2013-11-01,2014-04-17,2013-11-01,2014-04-17,PL FILED,"('2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17', '2014-04-17')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2017,Proposed,6.0,5.0,-122.41249913700001,37.797357521799995,RM-2,RM-2
1168,,908 BROADWAY ,0149010,2014-04-17,PL FILED,,,,2014-04-17,2014-04-17,,2014-04-17,PL FILED,"('2014-04-17',)",,"('PL FILED',)",2,2017,Proposed,6.0,5.0,,,RM-2,RM-2
10854,,1000-1020 BROADWAY,0150053,,PL APPROVED,,,,2013-01-16,,2013-01-16,,PL APPROVED,"(nan, nan)",,"('PL APPROVED', 'PL APPROVED')",2,2013,Proposed,4.0,4.0,-122.4139845,37.7971331,RH-2,RH-2
1760,,1000 - 1020 BROADWAY,0150054,2016-07-12,BP FILED,,,201607122140,2016-07-12,2016-07-12,,2016-07-12,BP FILED,"('2016-07-12', '2016-07-12', '2016-07-12', '2016-07-12', '2016-07-12', '2016-07-12')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,2.0,,,,
29915,,1000 - 1020 BROADWAY (BLDG 1 OF 3),0150054,2016-07-12,BP FILED,,,201607122139,2006-09-28,2016-07-12,2006-09-28,2016-07-12,BP FILED,"('2016-07-12', '2016-07-12', '2016-07-12')",,"('BP FILED', 'BP FILED', 'BP FILED')",4,2016,Proposed,1.0,1.0,-122.413810539,37.7972167602,RH-2,RH-2
29916,,1000 - 1020 BROADWAY (BLDG 2 OF 3),0150054,2016-07-12,BP FILED,,,201607122132,2006-09-28,2016-07-12,2006-09-28,2016-07-12,BP FILED,"('2016-07-12', '2016-07-12', '2016-07-12')",,"('BP FILED', 'BP FILED', 'BP FILED')",4,2016,Proposed,1.0,1.0,-122.413810539,37.7972167602,RH-2,RH-2
29917,,1000 - 1020 BROADWAY (BLDG 3 OF 3),0150054,2016-07-12,BP FILED,,,201607122140,2006-09-28,2016-07-12,2006-09-28,2016-07-12,BP FILED,"('2016-07-12', '2016-07-12', '2016-07-12')",,"('BP FILED', 'BP FILED', 'BP FILED')",4,2016,Proposed,2.0,2.0,-122.413810539,37.7972167602,RH-2,RH-2
15569,,1020 BROADWAY,0150054,2014-03-24,PL APPROVED,,,,2007-12-03,2013-01-16,2007-12-03,2014-03-24,PL APPROVED,"('2013-01-16', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24', '2014-03-24')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,6.0,6.0,-122.41381100000001,37.7972167593,RH-2,RH-2
9369,,1020 BROADWAY ,0150054,2006-09-28,PL FILED,,,,2006-09-28,2006-09-28,2006-09-28,2006-09-28,PL FILED,"('2006-09-28', '2006-09-28', '2006-09-28', '2006-09-28', '2006-09-28', '2006-09-28', '2006-09-28', '2006-09-28')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2011,Proposed,6.0,6.0,-122.413904,37.797123,RH-2,RH-2
2487,,81 GLOVER ST,0151029,2013-04-22,BP FILED,,,201304225124,2013-04-22,2013-04-22,2013-04-22,2013-04-22,BP FILED,"('2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22', '2013-04-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,RH-2,RH-2
1629,2016-06-29,1364 PACIFIC AV,0155020,2016-11-28,BP ISSUED,,,201408123674,2014-08-12,2014-08-12,2014-08-12,2016-11-28,BP ISSUED,"('2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2016-06-29', '2016-06-29', '2016-11-28', '2016-11-28', '2016-11-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,,,PACIFIC,PACIFIC
1801,2016-06-10,1370 PACIFIC AV,0155021,2016-11-28,BP ISSUED,,,201408123679,2014-08-12,2014-08-12,2014-08-12,2016-11-28,BP ISSUED,"('2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2014-08-12', '2016-06-10', '2016-06-10', '2016-11-28', '2016-11-28', '2016-11-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,,,PACIFIC,PACIFIC
12806,2009-12-07,5 CYRUS PL,0155052,2011-01-12,CONSTRUCTION,04/01/2011,2010-04-07,200811106167,2008-11-10,2008-11-10,2008-11-10,2011-01-12,CONSTRUCTION,"('2008-11-10', '2009-12-07', '2010-04-07', '2010-06-10', '2010-08-12', '2011-01-12', '2011-01-12')",872.0,"('BP FILED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,2.0,1.0,-122.41719099999999,37.796369,RH-3,RH-3
1786,2015-12-18,151 BERNARD ST,0156015A,2017-09-06,CONSTRUCTION,07/01/2017,2016-11-15,201411262632,2014-11-26,2014-11-26,2014-11-26,2017-09-06,CONSTRUCTION,"('2014-11-26', '2014-11-26', '2014-11-26', '2014-11-26', '2015-12-18', '2015-12-18', '2015-12-18', '2015-12-18', '2016-11-15', '2016-11-15', '2017-09-06')",948.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,3.0,2.0,,,,
18714,,138 BERNARD ST,0156034,2008-04-08,BP FILED,,,200804089105,2008-04-08,2008-04-08,2008-04-08,2008-04-08,BP FILED,"('2008-04-08', '2008-04-08')",,"('BP FILED', 'BP FILED')",4,2009,Proposed,1.0,-1.0,-122.41578899999999,37.796385,RH-3,RH-3
1766,2017-01-03,160 BERNARD ST,0156036,2017-08-01,CONSTRUCTION,2017-08-01,2017-08-01,201408133730,2014-08-13,2014-08-13,2014-08-13,2017-08-01,CONSTRUCTION,"('2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2014-08-13', '2017-01-03', '2017-01-13', '2017-08-01')",1084.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,,,RH-3,RH-3
1031,2016-09-12,1032 PACIFIC AV,0158010,2017-08-09,CONSTRUCTION,2017-08-09,2017-08-09,201510200295,2015-10-20,2015-10-20,2015-10-20,2017-08-09,CONSTRUCTION,"('2015-10-20', '2015-10-20', '2015-10-20', '2016-09-12', '2016-09-12', '2016-09-12', '2017-08-09')",659.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,6.0,6.0,,,,
1358,,1326 POWELL ST,0160014A,2016-12-21,BP FILED,,,201612215597,2016-12-21,2016-12-21,2016-12-21,2016-12-21,BP FILED,"('2016-12-21', '2016-12-21', '2016-12-21')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,14.0,14.0,,,,
966,,1011 KEARNY ST,0162026,2015-06-05,CONSTRUCTION,2015-06-05,2015-06-05,201501095394,2015-06-05,2015-06-05,,2015-06-05,CONSTRUCTION,"('2015-06-05',)",0.0,"('CONSTRUCTION',)",1,2015,Under Construction,0.0,0.0,-122.405600742,37.7973719643,NCD,NCD
2258,,401 BROADWAY,0163001,2016-03-01,PL FILED,,,,2016-03-01,2016-03-01,2016-03-01,2016-03-01,PL FILED,"('2016-03-01', '2016-03-01', '2016-03-01')",,"('PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,0.0,0.0,,,,
20320,,401 BROADWAY - HOTEL - CB3P,0163001,2016-03-01,PL FILED,,,,2016-03-01,2016-03-01,2016-03-01,2016-03-01,PL FILED,"('2016-03-01', '2016-03-01', '2016-03-01')",,"('PL FILED', 'PL FILED', 'PL FILED')",3,2016,Proposed,0.0,0.0,-122.404028772,37.7979893997,NCD,NCD
1303,,1020-1028 KEARNY ST,0163013,2017-06-07,PL FILED,,,,2017-06-07,2017-06-07,,2017-06-07,PL FILED,"('2017-06-07',)",,"('PL FILED',)",2,2017,Proposed,,0.0,,,,
1195,,875 SANSOME ST,0164001,2017-03-13,BP FILED,,,201703131307,2017-03-13,2017-03-13,,2017-03-13,BP FILED,"('2017-03-13', '2017-03-13')",,"('BP FILED', 'BP FILED')",2,2017,Proposed,6.0,6.0,,,,
30801,,717 BATTERY ST,0165006,2007-06-15,PL FILED,,,,2007-06-15,2007-06-15,2007-06-15,2007-06-15,PL FILED,"('2007-06-15',)",,"('PL FILED',)",3,2009,Proposed,78.0,78.0,-122.40108400000001,37.797868,C-2,C-2
16870,2012-08-09,235 BROADWAY,0165021,2014-09-19,CONSTRUCTION,10/01/2014,2013-09-13,201105166063,2010-06-17,2011-05-16,2010-06-17,2014-09-19,CONSTRUCTION,"('2011-05-16', '2011-05-16', '2012-08-09', '2012-08-09', '2012-08-09', '2013-09-13', '2014-01-02', '2014-03-26', '2014-06-18', '2014-09-19')",1567.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,75.0,75.0,-122.4016044,37.7985075,C-2,C-2
24698,2012-08-09,235 BROADWAY ,0165021,2012-08-09,BP ISSUED,,,201105166063,2008-07-02,2008-07-02,2008-07-02,2012-08-09,BP ISSUED,"('2008-07-02', '2008-07-02', '2008-07-02', '2010-07-22', '2010-07-22', '2010-07-22', '2010-07-22', '2011-05-16', '2011-05-16', '2011-05-16', '2012-08-09')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",3,2012,Building Permit Approved,75.0,75.0,-122.40146399999999,37.79841,C-2,C-2
